frame,stamp,lidar_x,lidar_y,lidar_z,enu_x,enu_y,enu_z,error_m,rmse_m
197,1769515233.719817877,50.743916,3.655255,-0.211345,52.594540,-3.120785,0.041400,7.028756,5.712578
198,1769515233.819818497,51.321266,3.694425,-0.206734,53.124427,-3.153522,0.035000,7.085493,5.780195
199,1769515233.919844866,51.666458,3.722013,-0.215633,53.618303,-3.189388,0.028200,7.185862,5.849259
200,1769515234.119844437,52.383816,3.768510,-0.233423,54.182856,-3.231291,0.018500,7.231682,5.948219
201,1769515234.219845295,52.727112,3.794984,-0.239892,54.641525,-3.264682,0.006900,7.318795,6.019478
202,1769515234.319845438,53.077568,3.821186,-0.249517,54.924046,-3.285197,0.000700,7.346616,6.090247
203,1769515234.419845104,53.435886,3.844347,-0.264557,55.244118,-3.308792,-0.000500,7.382873,6.159487
204,1769515234.519844770,53.786907,3.872822,-0.266362,55.564152,-3.331310,-0.004900,7.424721,6.228355
205,1769515234.619844437,54.129498,3.885776,-0.271762,55.960063,-3.364455,-0.006900,7.482444,6.297022
206,1769515234.719844103,54.482948,3.912544,-0.285436,56.356972,-3.390709,-0.016100,7.544668,6.365857
207,1769515234.819843531,54.826038,3.932158,-0.292539,56.725893,-3.424634,-0.022300,7.602951,6.433614
208,1769515234.919844151,55.169739,3.958763,-0.298793,57.054246,-3.451128,-0.026000,7.650638,6.501180
209,1769515235.019870520,55.515411,3.979264,-0.309813,57.345423,-3.474158,-0.031400,7.679841,6.568362
210,1769515235.119842768,55.897961,4.000968,-0.318258,57.709359,-3.502743,-0.037200,7.724366,6.635954
211,1769515235.219871283,56.264973,4.033213,-0.324217,58.073191,-3.532576,-0.043300,7.783941,6.704157
212,1769515235.319843531,56.634621,4.044946,-0.333435,58.435936,-3.562672,-0.042300,7.823385,6.736851
213,1769515235.419844389,56.996658,4.057866,-0.348206,58.761982,-3.589639,-0.049300,7.854301,6.802369
214,1769515235.519843102,57.351307,4.080095,-0.355745,59.118920,-3.619459,-0.044700,7.905968,6.866669
215,1769515235.619870424,57.715736,4.111409,-0.367347,59.478560,-3.648959,-0.051000,7.964354,6.932150
216,1769515235.719842196,58.081348,4.133865,-0.378287,59.805825,-3.675715,-0.050500,8.004425,6.996572
217,1769515235.819869518,58.448723,4.147544,-0.387811,60.163396,-3.709192,-0.058400,8.048411,7.060806
218,1769515235.919814587,58.811134,4.155492,-0.396942,60.483927,-3.737285,-0.055000,8.075338,7.089364
219,1769515236.019814491,59.165245,4.191895,-0.407897,60.877140,-3.773481,-0.058900,8.154729,7.118673
220,1769515236.119759321,59.516766,4.201800,-0.417699,61.272670,-3.804281,-0.058400,8.204244,7.147822
221,1769515236.219759941,59.885147,4.216743,-0.427685,61.628870,-3.837379,-0.065900,8.248656,7.207411
222,1769515236.519759655,60.253761,4.228542,-0.434449,62.266855,-3.898971,-0.059900,8.381486,7.270107
223,1769515236.619758606,61.315205,4.292967,-0.470198,63.113687,-3.981615,-0.059300,8.477741,7.334770
224,1769515236.819758177,62.023285,4.319114,-0.492744,63.631522,-4.034332,-0.058000,8.517951,7.431429
225,1769515237.119757414,63.087013,4.371648,-0.526094,64.557586,-4.124808,-0.067000,8.634994,7.530589
226,1769515237.319757223,63.780991,4.405070,-0.545473,65.205919,-4.191010,-0.073700,8.726144,7.595630
227,1769515237.419757366,64.120903,4.412455,-0.551754,65.712655,-4.244588,-0.072200,8.815217,7.660036
228,1769515237.619783878,64.668915,4.429884,-0.572930,66.216085,-4.301815,-0.077300,8.881552,7.723390
229,1769515237.719784021,65.137222,4.459815,-0.584258,66.524883,-4.332800,-0.077600,8.915850,7.787214
230,1769515237.819756031,65.477676,4.471690,-0.592934,66.934441,-4.375547,-0.082400,8.980891,7.850531
231,1769515238.019755840,66.149605,4.494096,-0.611277,67.626198,-4.453165,-0.084700,9.083562,7.884557
232,1769515238.119755745,66.494041,4.505215,-0.625529,68.147654,-4.503188,-0.081400,9.175066,7.949567
233,1769515238.219783783,66.846535,4.522873,-0.634891,68.530756,-4.543964,-0.079700,9.238635,7.984330
234,1769515238.319783449,67.193062,4.537861,-0.644833,68.843950,-4.580440,-0.086600,9.283344,8.018518
235,1769515238.519782543,67.770439,4.553916,-0.662166,69.466620,-4.648694,-0.094000,9.374853,8.110132
236,1769515238.619783163,68.230492,4.576104,-0.676060,69.873114,-4.695639,-0.092500,9.434191,8.171865
237,1769515238.719781876,68.579796,4.581863,-0.686419,70.278636,-4.741373,-0.093800,9.495261,8.206682
238,1769515238.819809198,68.924614,4.596784,-0.697298,70.611398,-4.781553,-0.094300,9.547881,8.268503
239,1769515239.119781733,69.277557,4.607790,-0.707089,71.237719,-4.857815,-0.092500,9.685950,8.359232
240,1769515239.219781876,70.276764,4.636075,-0.742439,71.885320,-4.939429,-0.097200,9.731088,8.422392
241,1769515239.319781303,70.615990,4.641760,-0.753457,72.492894,-5.017309,-0.100900,9.861349,8.486973
242,1769515239.419808865,70.948189,4.649796,-0.763387,72.841495,-5.063388,-0.101500,9.918097,8.552112
243,1769515239.519808531,71.286041,4.657534,-0.780952,73.203874,-5.083258,-0.116700,9.949993,8.616902
244,1769515239.719808340,71.912964,4.679833,-0.797007,73.912179,-5.177287,-0.115400,10.080887,8.712724
245,1769515239.819780827,72.351768,4.695982,-0.808149,74.524295,-5.258517,-0.119500,10.212059,8.782142
246,1769515239.919780016,72.696991,4.697152,-0.816842,74.961865,-5.281773,-0.142400,10.254924,8.851008
247,1769515240.019807577,72.898445,4.710252,-0.827293,75.351282,-5.338563,-0.146800,10.366204,8.921595
248,1769515240.119779587,73.201225,4.709384,-0.838043,75.708349,-5.385492,-0.153100,10.424075,8.992705
249,1769515240.319807529,73.846428,4.727917,-0.860081,76.254893,-5.430437,-0.176400,10.462326,9.094657
250,1769515240.419834852,74.143059,4.736776,-0.873274,76.745237,-5.491700,-0.187700,10.576534,9.167654
251,1769515240.519806862,74.441597,4.746247,-0.882895,77.028006,-5.530583,-0.189700,10.619947,9.240695
252,1769515240.619806767,74.764595,4.749572,-0.895913,77.314159,-5.584044,-0.218600,10.665020,9.313367
253,1769515240.719779730,75.051765,4.752370,-0.904007,77.641859,-5.637505,-0.205300,10.730623,9.386146
254,1769515241.119832754,76.240784,4.772681,-0.953780,78.512412,-5.759956,-0.189500,10.801892,9.604844
255,1769515241.219806910,76.518410,4.781004,-0.960538,79.117276,-5.847782,-0.195200,10.968634,9.684544
256,1769515241.319805384,76.797554,4.786284,-0.967307,79.383798,-5.866733,-0.191000,10.989908,9.724273
257,1769515241.519804955,77.381783,4.794776,-0.996295,79.785104,-5.913565,-0.196000,11.003863,9.798670
258,1769515241.619805098,77.663376,4.795016,-1.006536,80.182065,-5.965162,-0.196900,11.080647,9.872612
259,1769515241.719805002,77.947098,4.799471,-1.028239,80.444621,-6.002594,-0.196600,11.118177,9.909325
260,1769515241.819804907,78.226082,4.802960,-1.042144,80.702723,-6.038607,-0.199300,11.152745,9.981703
261,1769515242.019831657,78.767403,4.815099,-1.053247,81.100751,-6.095089,-0.201400,11.189386,10.016258
262,1769515242.119858742,79.034096,4.816872,-1.063644,81.657261,-6.179144,-0.208900,11.336840,10.088797
263,1769515242.219831705,79.299301,4.818633,-1.080036,81.929587,-6.215429,-0.210100,11.376542,10.124783
264,1769515242.319832325,79.575645,4.823888,-1.088299,82.177269,-6.247410,-0.207500,11.406923,10.194683
265,1769515242.419831276,79.851791,4.820395,-1.100034,82.452889,-6.286940,-0.208700,11.442599,10.263149
266,1769515242.619858027,80.367508,4.829851,-1.120916,82.779246,-6.331920,-0.211600,11.455499,10.330042
267,1769515242.719830036,80.624374,4.832357,-1.134107,83.102540,-6.380112,-0.213000,11.519948,10.397606
268,1769515242.919829845,81.141685,4.836063,-1.157060,83.445884,-6.424689,-0.212200,11.532850,10.463644
269,1769515243.019829273,81.392303,4.831585,-1.166552,83.591956,-6.442988,-0.212400,11.526702,10.526773
270,1769515243.119856119,81.646538,4.839365,-1.179131,84.085355,-6.504977,-0.217400,11.643318,10.590806
271,1769515243.219857454,81.893631,4.845050,-1.187487,84.358898,-6.542036,-0.220900,11.690917,10.654381
272,1769515243.319830179,82.149879,4.843237,-1.199544,84.727254,-6.589768,-0.224400,11.760416,10.718563
273,1769515243.419829845,82.405373,4.850353,-1.209781,84.990832,-6.618877,-0.224800,11.798222,10.747602
274,1769515243.519829512,82.665329,4.857513,-1.222847,85.208535,-6.643886,-0.228900,11.821083,10.809275
275,1769515243.619856119,82.919388,4.858984,-1.235766,85.562863,-6.684372,-0.233700,11.884492,10.871056
276,1769515243.719856501,83.161209,4.866151,-1.246841,85.843116,-6.716823,-0.235500,11.932340,10.932467
277,1769515243.819856167,83.407318,4.867946,-1.253055,86.097803,-6.744615,-0.236100,11.963464,10.993235
278,1769515243.919856071,83.655197,4.881163,-1.269854,86.418178,-6.779775,-0.240100,12.027965,11.020287
279,1769515244.119855404,84.154526,4.904933,-1.289769,86.735375,-6.814919,-0.243400,12.046186,11.078315
280,1769515244.419856071,84.875771,4.931635,-1.326444,86.913793,-6.834662,-0.247400,11.990146,11.195179
281,1769515244.519882679,85.114410,4.945528,-1.336839,87.478224,-6.881976,-0.250900,12.110192,11.251048
282,1769515245.219854355,85.370117,4.933033,-1.353344,87.698149,-6.902613,-0.252000,12.112605,11.414378
283,1769515245.319881678,86.976936,5.047471,-1.429068,88.458396,-7.008776,-0.254600,12.203572,11.465113
284,1769515245.519853830,87.418831,5.064730,-1.453403,89.118871,-7.070047,-0.271200,12.310180,11.541958
285,1769515245.819852829,88.088837,5.107700,-1.483497,89.543545,-7.099004,-0.275500,12.352290,11.618741
286,1769515245.919852495,88.306610,5.123626,-1.494895,89.918751,-7.107081,-0.273600,12.396804,11.643082
287,1769515246.319824696,89.180229,5.219928,-1.536348,90.495338,-7.111410,-0.283600,12.464380,11.737885
288,1769515246.519770384,89.610779,5.269614,-1.555177,90.690474,-7.108127,-0.285600,12.489437,11.762098
289,1769515246.719768763,90.043610,5.324093,-1.573411,91.225840,-7.044194,-0.299800,12.489767,11.831111
290,1769515246.919768333,90.495262,5.442725,-1.599332,91.563017,-7.002606,-0.333900,12.554987,11.900785
291,1769515247.019795895,90.706108,5.501896,-1.608152,91.951797,-6.934050,-0.335700,12.562788,11.922714
292,1769515247.219769001,90.908279,5.568837,-1.613243,92.238705,-6.886587,-0.346500,12.590165,11.988147
293,1769515247.319768667,91.351852,5.706964,-1.653202,92.663591,-6.786433,-0.362800,12.628174,12.029845
294,1769515247.419768095,91.565674,5.775367,-1.661092,93.076812,-6.685861,-0.364700,12.619286,12.070134
295,1769515247.719767332,92.201820,6.038276,-1.703965,93.513397,-6.584471,-0.367600,12.760872,12.136184
296,1769515247.919793606,92.824280,6.321042,-1.741950,93.841202,-6.501652,-0.374300,12.935458,12.185264
297,1769515248.019793510,93.439796,6.623717,-1.789725,93.930941,-6.479582,-0.375800,13.188512,12.243041
298,1769515248.119766712,93.621246,6.483448,-1.779489,94.703639,-6.278798,-0.365200,12.885912,12.289680
299,1769515248.419793367,93.706352,6.687340,-1.793151,95.147747,-6.162274,-0.371900,13.008080,12.380854
300,1769515248.619793653,94.124374,6.862306,-1.816312,95.500346,-6.069259,-0.375700,13.084114,12.451394
301,1769515248.719792843,94.332863,6.958740,-1.825987,95.957880,-5.946253,-0.379800,13.087054,12.497688
302,1769515248.819792986,94.549683,7.039685,-1.841444,96.215895,-5.866079,-0.372800,13.095493,12.542403
303,1769515249.019792080,94.964539,7.218800,-1.866134,96.490143,-5.787257,-0.364500,13.181043,12.611189
304,1769515249.119792223,95.164268,7.309164,-1.880168,96.831089,-5.692615,-0.357900,13.196281,12.634193
305,1769515249.319792747,95.586571,7.461163,-1.903753,97.000943,-5.653166,-0.358800,13.280548,12.681689
306,1769515249.419792414,95.786301,7.558928,-1.909317,97.463431,-5.561646,-0.351900,13.318701,12.705852
307,1769515249.519819260,95.983276,7.635379,-1.924815,97.734631,-5.519706,-0.343400,13.365043,12.756559
308,1769515249.719819546,96.391617,7.772309,-1.944650,98.131100,-5.480661,-0.335800,13.463113,12.806687
309,1769515249.819791079,96.591431,7.828542,-1.955983,98.382524,-5.462989,-0.330400,13.509823,12.832463
310,1769515250.019817829,96.792053,7.877661,-1.966534,98.382524,-5.462989,-0.330400,13.534382,12.857305
311,1769515250.119817495,97.188385,7.996654,-1.982820,98.951942,-5.441950,-0.327700,13.654510,12.884673
312,1769515250.219819784,97.393417,8.032851,-1.993822,99.186784,-5.446371,-0.323200,13.700239,12.911786
313,1769515250.419818640,97.783714,8.097630,-2.009505,99.582809,-5.478044,-0.332300,13.796690,12.990826
314,1769515250.519818068,97.991127,8.123838,-2.023067,99.883414,-5.513744,-0.350000,13.869519,13.020096
315,1769515250.719817877,98.378159,8.157261,-2.041536,100.288238,-5.583622,-0.355100,13.975132,13.074198
316,1769515250.819817781,98.604828,8.161757,-2.049073,100.633881,-5.667527,-0.352200,14.079970,13.106796
317,1769515250.919817448,98.818367,8.158415,-2.058968,100.818842,-5.732486,-0.357600,14.136962,13.163033
318,1769515251.219817877,99.491402,8.106965,-2.088238,101.425732,-5.967348,-0.358700,14.311507,13.223597
319,1769515251.419817686,99.990982,8.022159,-2.102710,101.875615,-6.168081,-0.358000,14.420775,13.285602
320,1769515251.519817114,100.214897,7.974142,-2.113158,102.281240,-6.378759,-0.355300,14.607039,13.352914
321,1769515251.619817019,100.458565,7.903064,-2.119960,102.559923,-6.549122,-0.368200,14.708842,13.396020
322,1769515251.819817305,100.937538,7.764171,-2.135250,102.882862,-6.736985,-0.378100,14.736193,13.465018
323,1769515251.919843912,101.163818,7.702227,-2.140777,102.983973,-6.798013,-0.376300,14.720167,13.531307
324,1769515252.119843006,101.625969,7.541148,-2.151386,103.514096,-7.150566,-0.381100,14.917955,13.603585
325,1769515252.219871521,101.859009,7.450146,-2.158247,103.707095,-7.289600,-0.376900,14.961575,13.676163
326,1769515252.319844246,102.073265,7.365056,-2.167831,104.052392,-7.560187,-0.380700,15.161584,13.753939
327,1769515252.519843340,102.502647,7.169107,-2.173783,104.238599,-7.714032,-0.381600,15.090835,13.829180
328,1769515252.619842768,102.704102,7.060935,-2.180933,104.601351,-8.041411,-0.386100,15.326507,13.875525
329,1769515252.919870138,103.298065,6.734791,-2.184319,104.853782,-8.292372,-0.392000,15.213425,13.977589
330,1769515253.019842386,103.483757,6.620428,-2.193403,105.268083,-8.744019,-0.401400,15.571170,14.051673
331,1769515253.219870567,103.852226,6.373350,-2.194149,105.547714,-9.109676,-0.409700,15.677469,14.137389
332,1769515253.319842815,104.019958,6.249977,-2.195521,105.718348,-9.376682,-0.412600,15.819475,14.189708
333,1769515253.519842386,104.350128,5.986870,-2.197995,105.887067,-9.667057,-0.420000,15.829368,14.273777
334,1769515253.619869232,104.503677,5.855454,-2.208924,106.049737,-9.966995,-0.425600,15.997514,14.360803
335,1769515253.719868898,104.659645,5.720197,-2.213806,106.178009,-10.193577,-0.424600,16.085860,14.450112
336,1769515253.919841766,104.945305,5.432669,-2.209522,106.346720,-10.503965,-0.427100,16.097121,14.539015
337,1769515254.019868135,105.078682,5.290790,-2.203290,106.512991,-10.784598,-0.431200,16.236245,14.629640
338,1769515254.219842196,105.334236,4.989357,-2.207555,106.667172,-11.074731,-0.437200,16.216221,14.718656
339,1769515254.319869518,105.449783,4.837156,-2.206631,106.715318,-11.168796,-0.438600,16.152957,14.802886
340,1769515254.419842243,105.572090,4.680547,-2.207825,106.916067,-11.575887,-0.444300,16.406948,14.893806
341,1769515254.619869232,105.797646,4.379430,-2.208867,107.015569,-11.799225,-0.439300,16.320649,14.980187
342,1769515254.719896078,105.918480,4.227581,-2.208702,107.015569,-11.799225,-0.439300,16.161464,15.058457
343,1769515255.019868135,106.257561,3.788205,-2.208731,107.275497,-12.421788,-0.443800,16.337535,15.186679
344,1769515255.119894981,106.363739,3.644363,-2.207186,107.442349,-12.799693,-0.433400,16.574579,15.274492
345,1769515255.419867039,106.673782,3.202466,-2.206740,107.567534,-13.109315,-0.440200,16.431483,15.402092
346,1769515255.519867897,106.770020,3.058581,-2.203555,107.703793,-13.441265,-0.451300,16.618883,15.486895
347,1769515255.919893265,107.132477,2.471600,-2.199419,107.828784,-13.709644,-0.462000,16.289141,15.649215
348,1769515256.019811392,107.223953,2.324463,-2.207523,108.039499,-14.186021,-0.468500,16.621835,15.681531
349,1769515256.319783926,107.445068,2.012735,-2.171801,108.099354,-14.346635,-0.484100,16.459204,15.749357
350,1769515256.419783831,107.573059,1.770078,-2.194659,108.294142,-14.795394,-0.490700,16.668482,15.778890
351,1769515256.719782591,107.800079,1.421225,-2.201285,108.344781,-14.918097,-0.491200,16.437595,15.916101
352,1769515256.819782734,107.913307,1.237034,-2.194275,108.492256,-15.251430,-0.493500,16.586057,15.938152
353,1769515257.119810104,108.161049,0.850709,-2.187878,108.586189,-15.467609,-0.483100,16.412633,16.031532
354,1769515257.219782591,108.276230,0.655545,-2.181693,108.590918,-15.479295,-0.483200,16.227044,16.073863
355,1769515257.319782734,108.385872,0.508052,-2.177719,108.717132,-15.791742,-0.505700,16.388674,16.120187
356,1769515257.519809246,108.488312,0.331553,-2.184493,108.758039,-15.911968,-0.509400,16.331891,16.158248
357,1769515257.619782448,108.565697,0.204313,-2.182713,108.763904,-15.913858,-0.510100,16.205936,16.194205
358,1769515257.719781399,108.647484,0.078727,-2.181648,108.822333,-16.061107,-0.503100,16.227826,16.223449
359,1769515258.019780874,108.886826,-0.301836,-2.179248,108.843928,-16.118364,-0.493800,15.906135,16.245580
360,1769515258.119807959,108.968712,-0.417634,-2.179922,108.859162,-16.173842,-0.494300,15.846496,16.254452
361,1769515258.419808149,109.191124,-0.772130,-2.174857,108.847439,-16.176510,-0.494000,15.499623,16.263366
362,1769515258.519808054,109.255753,-0.873316,-2.176865,108.864134,-16.170004,-0.497000,15.393634,16.235126
363,1769515258.619807482,109.314667,-0.967128,-2.174839,108.859140,-16.169588,-0.496200,15.301637,16.218252
364,1769515258.819807053,109.412575,-1.120866,-2.172736,108.877650,-16.169167,-0.496200,15.150851,16.194745
365,1769515258.919806719,109.451561,-1.186129,-2.171699,108.880688,-16.168371,-0.495800,15.086488,16.159028
366,1769515259.019806147,109.486000,-1.243442,-2.170702,108.880475,-16.168137,-0.495900,15.030573,16.124750
367,1769515259.219807625,109.544197,-1.325841,-2.171179,108.882849,-16.169055,-0.499000,14.951741,16.083289
368,1769515259.619833231,109.582542,-1.389358,-2.171843,108.882809,-16.168964,-0.499100,14.890414,16.023218
369,1769515259.719805956,109.582542,-1.384131,-2.171690,108.882879,-16.169370,-0.499600,14.895929,15.973576
370,1769515259.819833040,109.585052,-1.389014,-2.170679,108.883559,-16.169179,-0.500200,14.890798,15.929405
371,1769515260.019832373,109.585701,-1.389785,-2.172041,108.884493,-16.169312,-0.501000,14.890215,15.894702
372,1769515260.119832277,109.584190,-1.391579,-2.170924,108.885023,-16.168532,-0.501500,14.887382,15.845508
373,1769515260.219833136,109.584732,-1.392191,-2.171360,108.885023,-16.168532,-0.501500,14.886849,15.787627
374,1769515260.419832230,109.582108,-1.387253,-2.170983,108.885176,-16.168136,-0.501600,14.891174,15.758566
375,1769515260.819831848,109.583633,-1.391042,-2.170292,108.885014,-16.167770,-0.501700,14.887040,15.674948
376,1769515260.919830799,109.583084,-1.391147,-2.171315,108.885014,-16.167770,-0.501800,14.887013,15.649322
377,1769515261.019830704,109.584732,-1.390921,-2.171560,108.884295,-16.166885,-0.500200,14.886678,15.566354
378,1769515261.219830513,109.584244,-1.390187,-2.171302,108.884255,-16.166794,-0.499300,14.887367,15.544199
379,1769515261.319858551,109.582977,-1.389268,-2.170536,108.884255,-16.166794,-0.499300,14.888133,15.491304
380,1769515261.419857264,109.582932,-1.393737,-2.170739,108.884255,-16.166794,-0.499300,14.883718,15.430599
381,1769515261.619856596,109.582680,-1.388816,-2.170988,108.884255,-16.166794,-0.499300,14.888619,15.413414
382,1769515261.719856739,109.583878,-1.392822,-2.170759,108.884255,-16.166794,-0.499300,14.884673,15.362430
383,1769515261.819856644,109.584732,-1.390582,-2.171463,108.884255,-16.166794,-0.499300,14.887015,15.306185
384,1769515262.019856215,109.583572,-1.392887,-2.171057,108.884255,-16.166794,-0.499300,14.884628,15.293187
